"Plot Title: 20392860"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20392860, SEN S/N: 20392860)","Coupler Detached (LGR S/N: 20392860, SEN S/N: 20392860)","Coupler Attached (LGR S/N: 20392860, SEN S/N: 20392860)","Stopped (LGR S/N: 20392860, SEN S/N: 20392860)","End Of File (LGR S/N: 20392860, SEN S/N: 20392860)"
1,2020-10-03 10:30:00,13.954,Logged,,,
2,2020-10-03 11:00:00,12.437,,,,
3,2020-10-03 11:30:00,12.243,,,,
4,2020-10-03 12:00:00,12.340,,,,
5,2020-10-03 12:30:00,12.509,,,,
6,2020-10-03 13:00:00,12.678,,,,
7,2020-10-03 13:30:00,12.823,,,,
8,2020-10-03 14:00:00,12.920,,,,
9,2020-10-03 14:30:00,13.040,,,,
10,2020-10-03 15:00:00,13.088,,,,
11,2020-10-03 15:30:00,13.112,,,,
12,2020-10-03 16:00:00,13.088,,,,
13,2020-10-03 16:30:00,12.992,,,,
14,2020-10-03 17:00:00,12.920,,,,
15,2020-10-03 17:30:00,12.823,,,,
16,2020-10-03 18:00:00,12.703,,,,
17,2020-10-03 18:30:00,12.509,,,,
18,2020-10-03 19:00:00,12.316,,,,
19,2020-10-03 19:30:00,12.171,,,,
20,2020-10-03 20:00:00,12.025,,,,
21,2020-10-03 20:30:00,11.880,,,,
22,2020-10-03 21:00:00,11.710,,,,
23,2020-10-03 21:30:00,11.540,,,,
24,2020-10-03 22:00:00,11.443,,,,
25,2020-10-03 22:30:00,11.370,,,,
26,2020-10-03 23:00:00,11.297,,,,
27,2020-10-03 23:30:00,11.224,,,,
28,2020-10-04 00:00:00,11.151,,,,
29,2020-10-04 00:30:00,11.053,,,,
30,2020-10-04 01:00:00,10.980,,,,
31,2020-10-04 01:30:00,10.883,,,,
32,2020-10-04 02:00:00,10.834,,,,
33,2020-10-04 02:30:00,10.761,,,,
34,2020-10-04 03:00:00,10.687,,,,
35,2020-10-04 03:30:00,10.614,,,,
36,2020-10-04 04:00:00,10.541,,,,
37,2020-10-04 04:30:00,10.418,,,,
38,2020-10-04 05:00:00,10.345,,,,
39,2020-10-04 05:30:00,10.247,,,,
40,2020-10-04 06:00:00,10.198,,,,
41,2020-10-04 06:30:00,10.075,,,,
42,2020-10-04 07:00:00,10.051,,,,
43,2020-10-04 07:30:00,10.001,,,,
44,2020-10-04 08:00:00,10.100,,,,
45,2020-10-04 08:30:00,10.271,,,,
46,2020-10-04 09:00:00,10.418,,,,
47,2020-10-04 09:30:00,10.614,,,,
48,2020-10-04 10:00:00,10.810,,,,
49,2020-10-04 10:30:00,11.053,,,,
50,2020-10-04 11:00:00,11.346,,,,
51,2020-10-04 11:30:00,11.589,,,,
52,2020-10-04 12:00:00,11.856,,,,
53,2020-10-04 12:30:00,12.098,,,,
54,2020-10-04 13:00:00,12.316,,,,
55,2020-10-04 13:30:00,12.509,,,,
56,2020-10-04 14:00:00,12.630,,,,
57,2020-10-04 14:30:00,12.703,,,,
58,2020-10-04 15:00:00,12.823,,,,
59,2020-10-04 15:30:00,12.896,,,,
60,2020-10-04 16:00:00,12.775,,,,
61,2020-10-04 16:30:00,12.630,,,,
62,2020-10-04 17:00:00,12.534,,,,
63,2020-10-04 17:30:00,12.437,,,,
64,2020-10-04 18:00:00,12.340,,,,
65,2020-10-04 18:30:00,12.195,,,,
66,2020-10-04 19:00:00,12.001,,,,
67,2020-10-04 19:30:00,11.832,,,,
68,2020-10-04 20:00:00,11.662,,,,
69,2020-10-04 20:30:00,11.467,,,,
70,2020-10-04 21:00:00,11.273,,,,
71,2020-10-04 21:30:00,11.127,,,,
72,2020-10-04 22:00:00,10.980,,,,
73,2020-10-04 22:30:00,10.883,,,,
74,2020-10-04 23:00:00,10.761,,,,
75,2020-10-04 23:30:00,10.614,,,,
76,2020-10-05 00:00:00,10.541,,,,
77,2020-10-05 00:30:00,10.492,,,,
78,2020-10-05 01:00:00,10.443,,,,
79,2020-10-05 01:30:00,10.345,,,,
80,2020-10-05 02:00:00,10.271,,,,
81,2020-10-05 02:30:00,10.222,,,,
82,2020-10-05 03:00:00,10.124,,,,
83,2020-10-05 03:30:00,10.051,,,,
84,2020-10-05 04:00:00,10.001,,,,
85,2020-10-05 04:30:00,9.928,,,,
86,2020-10-05 05:00:00,9.879,,,,
87,2020-10-05 05:30:00,9.756,,,,
88,2020-10-05 06:00:00,9.632,,,,
89,2020-10-05 06:30:00,9.534,,,,
90,2020-10-05 07:00:00,9.460,,,,
91,2020-10-05 07:30:00,9.435,,,,
92,2020-10-05 08:00:00,9.558,,,,
93,2020-10-05 08:30:00,9.756,,,,
94,2020-10-05 09:00:00,9.903,,,,
95,2020-10-05 09:30:00,10.051,,,,
96,2020-10-05 10:00:00,10.247,,,,
97,2020-10-05 10:30:00,10.492,,,,
98,2020-10-05 11:00:00,10.761,,,,
99,2020-10-05 11:30:00,11.005,,,,
100,2020-10-05 12:00:00,11.248,,,,
101,2020-10-05 12:30:00,11.467,,,,
102,2020-10-05 13:00:00,11.686,,,,
103,2020-10-05 13:30:00,11.880,,,,
104,2020-10-05 14:00:00,12.050,,,,
105,2020-10-05 14:30:00,12.171,,,,
106,2020-10-05 15:00:00,12.292,,,,
107,2020-10-05 15:30:00,12.316,,,,
108,2020-10-05 16:00:00,12.195,,,,
109,2020-10-05 16:30:00,12.050,,,,
110,2020-10-05 17:00:00,11.929,,,,
111,2020-10-05 17:30:00,11.807,,,,
112,2020-10-05 18:00:00,11.710,,,,
113,2020-10-05 18:30:00,11.589,,,,
114,2020-10-05 19:00:00,11.467,,,,
115,2020-10-05 19:30:00,11.297,,,,
116,2020-10-05 20:00:00,11.175,,,,
117,2020-10-05 20:30:00,11.078,,,,
118,2020-10-05 21:00:00,10.980,,,,
119,2020-10-05 21:30:00,10.907,,,,
120,2020-10-05 22:00:00,10.834,,,,
121,2020-10-05 22:30:00,10.785,,,,
122,2020-10-05 23:00:00,10.712,,,,
123,2020-10-05 23:30:00,10.614,,,,
124,2020-10-06 00:00:00,10.541,,,,
125,2020-10-06 00:30:00,10.467,,,,
126,2020-10-06 01:00:00,10.394,,,,
127,2020-10-06 01:30:00,10.296,,,,
128,2020-10-06 02:00:00,10.198,,,,
129,2020-10-06 02:30:00,10.100,,,,
130,2020-10-06 03:00:00,10.051,,,,
131,2020-10-06 03:30:00,10.001,,,,
132,2020-10-06 04:00:00,9.928,,,,
133,2020-10-06 04:30:00,9.879,,,,
134,2020-10-06 05:00:00,9.805,,,,
135,2020-10-06 05:30:00,9.731,,,,
136,2020-10-06 06:00:00,9.657,,,,
137,2020-10-06 06:30:00,9.608,,,,
138,2020-10-06 07:00:00,9.608,,,,
139,2020-10-06 07:30:00,9.632,,,,
140,2020-10-06 08:00:00,9.731,,,,
141,2020-10-06 08:30:00,9.903,,,,
142,2020-10-06 09:00:00,10.051,,,,
143,2020-10-06 09:30:00,10.247,,,,
144,2020-10-06 10:00:00,10.443,,,,
145,2020-10-06 10:30:00,10.687,,,,
146,2020-10-06 11:00:00,10.932,,,,
147,2020-10-06 11:30:00,11.175,,,,
148,2020-10-06 12:00:00,11.443,,,,
149,2020-10-06 12:30:00,11.710,,,,
150,2020-10-06 13:00:00,11.977,,,,
151,2020-10-06 13:30:00,12.195,,,,
152,2020-10-06 14:00:00,12.413,,,,
153,2020-10-06 14:30:00,12.534,,,,
154,2020-10-06 15:00:00,12.630,,,,
155,2020-10-06 15:30:00,12.678,,,,
156,2020-10-06 16:00:00,12.606,,,,
157,2020-10-06 16:30:00,12.509,,,,
158,2020-10-06 17:00:00,12.437,,,,
159,2020-10-06 17:30:00,12.340,,,,
160,2020-10-06 18:00:00,12.243,,,,
161,2020-10-06 18:30:00,12.122,,,,
162,2020-10-06 19:00:00,12.001,,,,
163,2020-10-06 19:30:00,11.880,,,,
164,2020-10-06 20:00:00,11.759,,,,
165,2020-10-06 20:30:00,11.637,,,,
166,2020-10-06 21:00:00,11.516,,,,
167,2020-10-06 21:30:00,11.443,,,,
168,2020-10-06 22:00:00,11.346,,,,
169,2020-10-06 22:30:00,11.273,,,,
170,2020-10-06 23:00:00,11.273,,,,
171,2020-10-06 23:30:00,11.200,,,,
172,2020-10-07 00:00:00,11.102,,,,
173,2020-10-07 00:30:00,11.005,,,,
174,2020-10-07 01:00:00,10.932,,,,
175,2020-10-07 01:30:00,10.858,,,,
176,2020-10-07 02:00:00,10.810,,,,
177,2020-10-07 02:30:00,10.712,,,,
178,2020-10-07 03:00:00,10.663,,,,
179,2020-10-07 03:30:00,10.590,,,,
180,2020-10-07 04:00:00,10.516,,,,
181,2020-10-07 04:30:00,10.418,,,,
182,2020-10-07 05:00:00,10.345,,,,
183,2020-10-07 05:30:00,10.247,,,,
184,2020-10-07 06:00:00,10.149,,,,
185,2020-10-07 06:30:00,10.124,,,,
186,2020-10-07 07:00:00,10.100,,,,
187,2020-10-07 07:30:00,10.100,,,,
188,2020-10-07 08:00:00,10.222,,,,
189,2020-10-07 08:30:00,10.443,,,,
190,2020-10-07 09:00:00,10.663,,,,
191,2020-10-07 09:30:00,10.883,,,,
192,2020-10-07 10:00:00,11.078,,,,
193,2020-10-07 10:30:00,11.297,,,,
194,2020-10-07 11:00:00,11.565,,,,
195,2020-10-07 11:30:00,11.832,,,,
196,2020-10-07 12:00:00,12.050,,,,
197,2020-10-07 12:30:00,12.292,,,,
198,2020-10-07 13:00:00,12.582,,,,
199,2020-10-07 13:30:00,12.799,,,,
200,2020-10-07 14:00:00,12.944,,,,
201,2020-10-07 14:30:00,13.040,,,,
202,2020-10-07 15:00:00,13.112,,,,
203,2020-10-07 15:30:00,13.112,,,,
204,2020-10-07 16:00:00,13.088,,,,
205,2020-10-07 16:30:00,13.016,,,,
206,2020-10-07 17:00:00,12.968,,,,
207,2020-10-07 17:30:00,12.823,,,,
208,2020-10-07 18:00:00,12.678,,,,
209,2020-10-07 18:30:00,12.437,,,,
210,2020-10-07 19:00:00,12.243,,,,
211,2020-10-07 19:30:00,12.074,,,,
212,2020-10-07 20:00:00,11.929,,,,
213,2020-10-07 20:30:00,11.807,,,,
214,2020-10-07 21:00:00,11.686,,,,
215,2020-10-07 21:30:00,11.613,,,,
216,2020-10-07 22:00:00,11.492,,,,
217,2020-10-07 22:30:00,11.370,,,,
218,2020-10-07 23:00:00,11.321,,,,
219,2020-10-07 23:30:00,11.248,,,,
220,2020-10-08 00:00:00,11.151,,,,
221,2020-10-08 00:30:00,11.078,,,,
222,2020-10-08 01:00:00,11.029,,,,
223,2020-10-08 01:30:00,10.956,,,,
224,2020-10-08 02:00:00,10.883,,,,
225,2020-10-08 02:30:00,10.810,,,,
226,2020-10-08 03:00:00,10.712,,,,
227,2020-10-08 03:30:00,10.614,,,,
228,2020-10-08 04:00:00,10.492,,,,
229,2020-10-08 04:30:00,10.394,,,,
230,2020-10-08 05:00:00,10.247,,,,
