"Plot Title: 20392937"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20392937, SEN S/N: 20392937)","Coupler Detached (LGR S/N: 20392937, SEN S/N: 20392937)","Bad Battery (LGR S/N: 20392937, SEN S/N: 20392937)","Good Battery (LGR S/N: 20392937, SEN S/N: 20392937)","Coupler Attached (LGR S/N: 20392937, SEN S/N: 20392937)","Stopped (LGR S/N: 20392937, SEN S/N: 20392937)","End Of File (LGR S/N: 20392937, SEN S/N: 20392937)"
1,2020-10-03 11:30:00,14.266,Logged,,,,,
2,2020-10-03 12:00:00,15.055,,,,,,
3,2020-10-03 12:30:00,15.891,,,,,,
4,2020-10-03 13:00:00,16.701,,,,,,
5,2020-10-03 13:30:00,17.391,,,,,,
6,2020-10-03 14:00:00,17.819,,,,,,
7,2020-10-03 14:30:00,18.033,,,,,,
8,2020-10-03 15:00:00,18.176,,,,,,
9,2020-10-03 15:30:00,18.057,,,,,,
10,2020-10-03 16:00:00,17.938,,,,,,
11,2020-10-03 16:30:00,17.534,,,,,,
12,2020-10-03 17:00:00,16.868,,,,,,
13,2020-10-03 17:30:00,16.249,,,,,,
14,2020-10-03 18:00:00,15.867,,,,,,
15,2020-10-03 18:30:00,15.485,,,,,,
16,2020-10-03 19:00:00,14.625,,,,,,
17,2020-10-03 19:30:00,13.930,,,,,,
18,2020-10-03 20:00:00,13.546,,,,,,
19,2020-10-03 20:30:00,13.257,,,,,,
20,2020-10-03 21:00:00,13.185,,,,,,
21,2020-10-03 21:30:00,12.799,,,,,,
22,2020-10-03 22:00:00,12.389,,,,,,
23,2020-10-03 22:30:00,12.413,,,,,,
24,2020-10-03 23:00:00,12.316,,,,,,
25,2020-10-03 23:30:00,12.243,,,,,,
26,2020-10-04 00:00:00,11.904,,,,,,
27,2020-10-04 00:30:00,11.565,,,,,,
28,2020-10-04 01:00:00,11.297,,,,,,
29,2020-10-04 01:30:00,11.175,,,,,,
30,2020-10-04 02:00:00,10.980,,,,,,
31,2020-10-04 02:30:00,11.005,,,,,,
32,2020-10-04 03:00:00,10.614,,,,,,
